"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\pages\Loading.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\home\Base.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\home\Full.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\home\Header.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\items.js", "JavaScript", 0, 423, 0, 0, 0, 0, 0, 12, 23, 458
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 4, 21, 150
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\BaseView.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 11, 129
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\FullView.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 2, 15, 159
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\components\Messages.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 2, 16, 163
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\modal\CreateMessage.js", "JavaScript", 0, 370, 0, 0, 0, 0, 0, 3, 26, 399
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\modal\SearchMessage.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 2, 19, 158
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView.js", "JavaScript", 0, 230, 0, 0, 0, 0, 0, 9, 45, 284
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\ChatBaseView.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 0, 10, 165
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\ChatFullView.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 0, 10, 165
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\Layout.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\Layout\BottomBar.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 2, 16, 92
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\Layout\TopBar.js", "JavaScript", 0, 190, 0, 0, 0, 0, 0, 2, 12, 204
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\components\SignOut.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 2, 14, 200
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout\Btn\PageBtn.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout\Btn\SelectedPageBtn.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout\LayoutView.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
