"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\FullView.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 2, 15, 159
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\components\Messages.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 2, 16, 163
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\modal\CreateMessage.js", "JavaScript", 370, 0, 0, 0, 0, 0, 0, 3, 26, 399
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\modal\SearchMessage.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 2, 19, 158
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 9, 45, 284
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\ChatBaseView.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 10, 165
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\ChatFullView.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 10, 165
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\Layout.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\Layout\BottomBar.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 2, 16, 92
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageView\Layout\TopBar.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 2, 12, 204
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\components\SignOut.js", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 2, 14, 200
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout\Btn\PageBtn.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout\Btn\SelectedPageBtn.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\layout\Layout\LayoutView.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Email.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Email\Base.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Email\Full.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Password.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 9, 48
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Password\Base.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Password\Full.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Username.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 1, 10, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Username\Base.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 10, 65
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\Username\Full.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email(inactive)\ChangeEmail.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email(inactive)\SendCode.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email(inactive)\VerifyCode.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 10, 88
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Email.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 2, 27, 243
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Password.js", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 2, 18, 251
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\AccountPage\modals\Username.js", "JavaScript", 210, 0, 0, 0, 0, 0, 0, 4, 30, 244
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Perks.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Perks\Base.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Perks\Full.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Subscribe.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Subscribe\Base.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 39, 8, 134
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\ProPage\Subscribe\Full.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 39, 11, 138
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\SubscriptionPage.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\options\pages\Subscriptions\Manage.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 32, 13, 118
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\placeholderData.js", "JavaScript", 303, 0, 0, 0, 0, 0, 0, 0, 4, 307
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 6, 42, 294
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\First.js", "JavaScript", 245, 0, 0, 0, 0, 0, 0, 0, 26, 271
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\Loading.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\Second.js", "JavaScript", 323, 0, 0, 0, 0, 0, 0, 12, 30, 365
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\profile\modals\CreatePost\Submit.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
